"id";"loan_amnt";"funded_amnt";"term";"int_rate";"installment";"grade";"emp_title";"emp_length";"home_ownership";"annual_inc";"verification_status";"issue_d";"loan_status";"desc";"title";"zip_code";"addr_state";"dti";"delinq_2yrs";"earliest_cr_line";"fico_range_low";"fico_range_high";"inq_last_6mths";"mths_since_last_delinq";"mths_since_last_record";"open_acc";"pub_rec";"revol_bal";"revol_util";"total_acc";"initial_list_status";"out_prncp";"out_prncp_inv";"total_pymnt";"total_pymnt_inv";"total_rec_prncp";"total_rec_int";"total_rec_late_fee";"recoveries";"collection_recovery_fee";"last_pymnt_d";"last_pymnt_amnt";"next_pymnt_d";"last_credit_pull_d";"last_fico_range_high";"last_fico_range_low";"collections_12_mths_ex_med";"mths_since_last_major_derog";"policy_code";"application_type";"annual_inc_joint";"dti_joint";"verification_status_joint";"acc_now_delinq";"tot_coll_amt";"tot_cur_bal";"open_acc_6m";"open_act_il";"open_il_12m";"open_il_24m";"mths_since_rcnt_il";"total_bal_il"
13;3100;3100;" 36 months";9.43;99.21;"B";"Manager";"10+ years";"MORTGAGE";85000;"Not Verified";"18-Mar";"Current";"";"Vacation";"301xx";"GA";9.12;1;"1-May";665;669;1;15;"";23;0;7287;17.8;33;"w";2223.19;2223.19;1108.06;1108.06;876.81;231.25;0;0;0;"19-Feb";99.21;"19-Apr";"19-Mar";674;670;0;"15";1;"Individual";"";"";"";0;0;327618;1;2;0;0;35;51752
14;28625;28625;" 60 months";21.85;788.16;"D";"Psychologist";"10+ years";"RENT";150000;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"100xx";"NY";7.88;0;"Apr-94";730;734;0;0;"";7;0;12052;47.4;8;"w";25406.1;25406.1;8600.26;8600.26;3218.9;5381.36;0;0;0;"19-Feb";788.16;"19-Apr";"19-Mar";714;710;0;"";1;"Individual";"";"";"";0;0;23771;1;1;1;1;12;11719
15;10000;10000;" 36 months";6.07;304.54;"A";"Personal vehicle driver";"5 years";"OWN";50000;"Not Verified";"18-Mar";"Current";"";"Credit card refinancing";"542xx";"WI";8.93;0;"Sep-95";725;729;0;0;"102";9;1;4263;18.8;16;"w";7134.74;7134.74;3343.2;3343.2;2865.26;477.94;0;0;0;"19-Feb";304.54;"19-Apr";"19-Mar";734;730;0;"";1;"Individual";"";"";"";0;0;12083;1;1;0;2;21;7820
16;5500;5500;" 36 months";18.45;200.09;"D";"SR Operations Analyst";"10+ years";"RENT";72672;"Source Verified";"18-Mar";"Current";"";"Debt consolidation";"973xx";"OR";17.67;0;"May-98";695;699;3;45;"87";16;1;5477;11.3;39;"w";4126.85;4126.85;2200.51;2200.51;1373.15;827.36;0;0;0;"19-Mar";200.09;"19-Apr";"19-Mar";694;690;1;"52";1;"Individual";"";"";"";0;1840;81236;3;3;1;3;5;75759
17;5000;5000;" 36 months";11.98;166.03;"B";"SDO Supervisor";"10+ years";"OWN";55000;"Not Verified";"18-Mar";"Fully Paid";"";"Other";"300xx";"GA";14.18;0;"1-Aug";675;679;0;74;"82";14;1;11449;33.9;24;"w";0.0;0.0;5013.306667;5013.31;5000.0;13.31;0;0;0;"18-Apr";5019.97;"";"18-Aug";679;675;0;"74";1;"Individual";"";"";"";0;0;28880;1;1;0;0;33;17431
18;5000;5000;" 36 months";7.96;156.59;"A";"Office Manager";"10+ years";"MORTGAGE";82000;"Not Verified";"18-Mar";"Current";"";"Other";"302xx";"GA";24.53;0;"1-Oct";700;704;0;75;"";14;0;19181;69.5;27;"w";3596.4;3596.4;1721.49;1721.49;1403.6;317.89;0;0;0;"19-Mar";156.59;"19-Apr";"19-Mar";719;715;0;"";1;"Individual";"";"";"";0;0;92660;1;6;1;1;12;12080
19;35000;35000;" 60 months";13.58;806.79;"C";"Security Officer";"7 years";"MORTGAGE";160000;"Source Verified";"18-Mar";"Current";"";"Home improvement";"207xx";"MD";7.87;0;"5-Dec";705;709;1;0;"97";14;1;10333;24.5;24;"w";30217.72;30217.72;8821.88;8821.88;4782.28;4039.6;0;0;0;"19-Mar";806.79;"19-Apr";"19-Mar";729;725;0;"";1;"Individual";"";"";"";0;0;38964;3;1;1;1;3;28631
20;14000;14000;" 60 months";13.58;322.72;"C";"Accountant";"4 years";"RENT";45000;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"110xx";"NY";24.99;0;"2-Sep";720;724;1;0;"";12;0;14513;44.5;22;"w";12087.04;12087.04;3528.8;3528.8;1912.96;1615.84;0;0;0;"19-Mar";322.72;"19-Apr";"19-Mar";759;755;0;"";1;"Individual";"";"";"";0;0;19006;0;6;0;1;17;4493
21;7000;7000;" 36 months";20.39;261.54;"D";"Medical Assistant";"4 years";"RENT";41000;"Verified";"18-Mar";"Current";"";"Other";"200xx";"DC";30.15;0;"4-May";680;684;1;39;"";11;0;6160;63.5;25;"w";5293.0;5293.0;2861.08;2861.08;1707.0;1154.08;0;0;0;"19-Mar";261.54;"19-Apr";"19-Mar";699;695;0;"";1;"Individual";"";"";"";0;0;35923;1;5;1;2;8;29763
22;15000;15000;" 60 months";17.47;376.59;"D";"CCAP Administrator";"4 years";"RENT";50000;"Source Verified";"18-Mar";"Current";"";"Debt consolidation";"907xx";"CA";12.65;0;"Jan-90";670;674;1;96;"53";12;1;10189;34.4;15;"w";13127.25;13127.25;4113.37;4113.37;1872.75;2240.62;0;0;0;"19-Feb";376.59;"19-Apr";"19-Mar";719;715;0;"96";1;"Individual";"";"";"";0;0;10869;2;1;1;1;10;680
23;4000;4000;" 36 months";9.92;128.92;"B";"Records Specialist";"< 1 year";"MORTGAGE";39520;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"986xx";"WA";23.26;1;"3-Oct";745;749;3;22;"";22;0;3175;4.2;37;"w";2900.93;2900.93;1413.71;1413.71;1099.07;314.64;0;0;0;"19-Feb";128.92;"19-Apr";"19-Mar";759;755;0;"";1;"Individual";"";"";"";0;0;26045;2;3;2;2;4;22870
24;7000;7000;" 36 months";11.98;232.44;"B";"Parole";"< 1 year";"MORTGAGE";40000;"Verified";"18-Mar";"Fully Paid";"";"Home improvement";"797xx";"TX";20.25;0;"7-Mar";695;699;0;60;"";13;0;5004;36.0;29;"w";0.0;0.0;7693.314943;7693.31;7000.0;693.31;0;0;0;"19-Mar";5364.25;"";"19-Mar";644;640;0;"60";1;"Individual";"";"";"";0;0;131726;1;6;0;2;16;126722
25;20300;20300;" 60 months";17.47;509.66;"D";"Administrative Assistant";"< 1 year";"RENT";55000;"Verified";"18-Mar";"Late (31-120 days)";"";"Credit card refinancing";"112xx";"NY";26.63;0;"7-Nov";705;709;0;0;"";10;0;17506;70.9;26;"w";18497.12;18497.12;4037.88;4037.88;1802.88;2235.0;0;0;0;"18-Dec";509.66;"19-Apr";"19-Mar";704;700;0;"";1;"Individual";"";"";"";0;0;60594;0;3;0;1;24;43088
26;2500;2500;" 36 months";6.71;76.87;"A";"Facility manager";"10+ years";"MORTGAGE";53700;"Source Verified";"18-Mar";"Current";"";"Other";"166xx";"PA";28.56;0;"1-Nov";775;779;3;0;"";20;0;8289;15.6;38;"w";1788.53;1788.53;843.71;843.71;711.47;132.24;0;0;0;"19-Feb";76.87;"19-Apr";"19-Mar";719;715;0;"";1;"Individual";"";"";"";0;0;114256;4;8;4;6;1;50586
27;20000;20000;" 36 months";5.31;602.21;"A";"Sr. Administrative Director";"10+ years";"MORTGAGE";339000;"Source Verified";"18-Mar";"Current";"";"Other";"108xx";"NY";3.14;0;"Apr-95";775;779;0;0;"";11;0;135633;23.7;21;"w";14222.49;14222.49;6612.51;6612.51;5777.51;835.0;0;0;0;"19-Feb";602.21;"19-Apr";"19-Mar";769;765;0;"";1;"Individual";"";"";"";0;0;622378;1;0;0;1;24;0
28;5000;5000;" 36 months";15.04;173.43;"C";"Material Controller";"3 years";"OWN";72000;"Not Verified";"18-Mar";"Current";"";"Major purchase";"707xx";"LA";18.22;1;"Apr-91";660;664;0;21;"";7;0;4616;87.1;18;"w";3702.3;3702.3;1926.41;1926.41;1297.7;628.71;0;0;0;"19-Mar";173.43;"19-Apr";"19-Mar";704;700;0;"70";1;"Individual";"";"";"";0;0;26089;1;3;2;3;6;21473
29;25000;25000;" 60 months";12.61;563.85;"C";"Dental assistance/administration ";"6 years";"MORTGAGE";40000;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"970xx";"OR";27.78;0;"3-Mar";725;729;0;0;"";8;0;107401;60.6;16;"w";21508.72;21508.72;6167.32;6167.32;3491.28;2676.04;0;0;0;"19-Mar";563.85;"19-Apr";"19-Mar";759;755;0;"";1;"Joint App";"110000";"12.15";"Not Verified";0;0;414695;0;0;0;0;57;0
30;18000;18000;" 60 months";18.45;461.5;"D";"Owner ";"5 years";"RENT";68000;"Source Verified";"18-Mar";"Current";"";"Credit card refinancing";"550xx";"MN";10.29;0;"Jun-91";660;664;0;0;"51";13;7;8736;58.6;16;"w";15804.09;15804.09;5039.6;5039.6;2195.91;2843.69;0;0;0;"19-Feb";461.5;"19-Apr";"19-Mar";669;665;0;"";1;"Individual";"";"";"";0;0;13364;0;1;0;1;22;4628
31;11000;11000;" 36 months";7.34;341.37;"A";"MPF";"10+ years";"OWN";100000;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"982xx";"WA";24.95;0;"Dec-94";710;714;1;0;"";22;0;31371;47.7;33;"w";7891.13;7891.13;3746.1;3746.1;3108.87;637.23;0;0;0;"19-Feb";341.37;"19-Apr";"19-Mar";689;685;0;"";1;"Individual";"";"";"";0;0;62727;1;2;1;1;12;31356
32;5000;5000;" 36 months";9.92;161.15;"B";"Correctional Officer";"10+ years";"RENT";120000;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"956xx";"CA";24.88;1;"May-96";695;699;0;23;"";12;0;14618;79.0;24;"w";3626.17;3626.17;1767.14;1767.14;1373.83;393.31;0;0;0;"19-Feb";161.15;"19-Apr";"19-Mar";684;680;0;"31";1;"Individual";"";"";"";0;0;30669;0;3;0;0;33;16051
33;30000;30000;" 36 months";11.98;996.15;"B";"CEO";"4 years";"MORTGAGE";225000;"Verified";"18-Mar";"Current";"";"Debt consolidation";"941xx";"CA";8.54;0;"Feb-93";695;699;0;34;"";13;0;39046;70.7;13;"w";21942.64;21942.64;10917.72;10917.72;8057.36;2860.36;0;0;0;"19-Feb";996.15;"19-Apr";"19-Mar";769;765;0;"";1;"Individual";"";"";"";0;0;525974;2;2;1;1;2;32821
34;15350;15350;" 36 months";6.07;467.47;"A";"Compliance Manager";"6 years";"MORTGAGE";148000;"Source Verified";"18-Mar";"Current";"";"Debt consolidation";"282xx";"NC";23.62;0;"3-Sep";760;764;0;0;"83";19;1;46635;26.6;33;"w";10951.81;10951.81;5134.41;5134.41;4398.19;736.22;0;0;0;"19-Feb";467.47;"19-Apr";"19-Mar";734;730;0;"";1;"Individual";"";"";"";0;0;426610;0;12;0;3;21;129768
35;4600;4600;" 36 months";9.92;148.26;"B";"Technology Product Specilist";"10+ years";"RENT";70000;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"801xx";"CO";7.63;0;"4-Aug";675;679;0;0;"92";5;1;9504;29.0;36;"w";3336.05;3336.05;1625.79;1625.79;1263.95;361.84;0;0;0;"19-Feb";148.26;"19-Apr";"19-Mar";719;715;0;"";1;"Individual";"";"";"";0;0;9504;1;0;0;0;38;0
36;6300;6300;" 36 months";9.43;201.61;"B";"Engineer";"6 years";"RENT";60000;"Not Verified";"18-Mar";"Current";"";"Credit card refinancing";"265xx";"WV";13.36;0;"8-Jun";690;694;0;57;"28";7;1;6201;53.0;32;"w";4559.56;4559.56;2211.11;2211.11;1740.44;470.67;0;0;0;"19-Feb";201.61;"19-Apr";"19-Mar";699;695;0;"57";1;"Individual";"";"";"";0;222;54565;0;2;1;1;12;48364
37;10000;10000;" 36 months";10.9;326.92;"B";"Police Service Specialist";"< 1 year";"RENT";52320;"Source Verified";"18-Mar";"Current";"";"Debt consolidation";"981xx";"WA";12.87;0;"7-Oct";700;704;1;0;"97";6;1;1692;38.5;26;"w";7281.83;7281.83;3584.01;3584.01;2718.17;865.84;0;0;0;"19-Feb";326.92;"19-Apr";"19-Mar";724;720;0;"";1;"Individual";"";"";"";0;0;74220;0;3;2;3;7;72528
38;15500;15500;" 60 months";17.47;389.15;"D";"Finance";"9 years";"MORTGAGE";85000;"Verified";"18-Mar";"Current";"";"Debt consolidation";"027xx";"MA";20.29;0;"Jan-94";700;704;0;62;"";7;0;27413;49.7;32;"w";13564.75;13564.75;4250.56;4250.56;1935.25;2315.31;0;0;0;"19-Feb";389.15;"19-Apr";"19-Mar";724;720;0;"62";1;"Individual";"";"";"";0;96;49168;0;2;2;2;7;21755
39;30000;30000;" 36 months";21.85;1143.39;"D";"teacher";"10+ years";"OWN";57000;"Verified";"18-Mar";"Fully Paid";"";"Debt consolidation";"341xx";"FL";27.58;0;"Apr-00";680;684;1;68;"";11;0;29222;53.2;26;"w";0.0;0.0;34389.55034;34389.55;30000.0;4389.55;0;0;0;"18-Dec";26458.65;"";"18-Dec";699;695;0;"68";1;"Individual";"";"";"";0;0;157566;1;1;2;2;6;33030
40;28000;28000;" 36 months";10.9;915.36;"B";"Corporate Ergonomist";"6 years";"MORTGAGE";103000;"Source Verified";"18-Mar";"Current";"";"Debt consolidation";"287xx";"NC";30.76;0;"2-Mar";720;724;0;73;"";12;0;21266;26.5;30;"w";20389.3;20389.3;10077.44;10077.44;7610.7;2466.74;0;0;0;"19-Mar";915.36;"19-Apr";"19-Mar";799;795;0;"73";1;"Individual";"";"";"";0;0;76475;3;3;2;3;4;55209
41;21000;21000;" 60 months";20.39;560.94;"D";"Machine operator";"10+ years";"OWN";85000;"Source Verified";"18-Mar";"Fully Paid";"";"Home buying";"135xx";"NY";15.76;1;"8-Nov";665;669;0;2;"";15;0;14591;34.2;27;"w";0.0;0.0;24217.17092;24217.17;21000.0;3217.17;0;0;0;"19-Feb";183.26;"";"19-Mar";659;655;0;"";1;"Individual";"";"";"";0;0;128270;1;1;2;2;7;37076
42;13400;13400;" 60 months";16.01;325.94;"C";"Sales consultant ";"7 years";"MORTGAGE";94000;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"131xx";"NY";14.26;0;"7-Nov";740;744;1;0;"";13;0;15885;33.0;30;"w";11668.8;11668.8;3561.5;3561.5;1731.2;1830.3;0;0;0;"19-Mar";325.94;"19-Apr";"19-Mar";709;705;0;"";1;"Individual";"";"";"";0;0;193252;3;3;1;3;6;17948
43;40000;40000;" 60 months";9.43;838.71;"B";"Private Mortgage Banker";"10+ years";"MORTGAGE";150000;"Not Verified";"18-Mar";"Fully Paid";"";"Debt consolidation";"107xx";"NY";4.09;0;"Aug-96";730;734;0;0;"117";6;1;4373;9.4;9;"w";0.0;0.0;42645.05327;42645.05;40000.0;2645.05;0;0;0;"19-Jan";20264.3;"";"19-Jan";779;775;0;"";1;"Individual";"";"";"";0;0;15615;0;1;0;0;47;11242
44;7000;7000;" 36 months";6.07;213.18;"A";"Medical sales representative ";"3 years";"MORTGAGE";145000;"Not Verified";"18-Mar";"Current";"";"Medical expenses";"381xx";"TN";21.75;0;"2-Aug";735;739;0;0;"";21;0;31612;47.5;33;"w";4005.54;4005.54;3307.26;3307.26;2994.46;312.8;0;0;0;"19-Feb";363.18;"19-Apr";"19-Mar";734;730;0;"";1;"Individual";"";"";"";0;0;271892;1;3;0;1;16;56531
45;3000;3000;" 36 months";10.41;97.39;"B";"Executive Assistant";"10+ years";"MORTGAGE";60000;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"641xx";"MO";27.94;0;"Nov-88";770;774;3;0;"";20;0;17523;24.1;36;"w";2180.43;2180.43;1067.82;1067.82;819.57;248.25;0;0;0;"19-Feb";97.39;"19-Apr";"19-Mar";719;715;0;"";1;"Joint App";"86000";"20.64";"Not Verified";0;0;179712;3;4;3;4;1;38742
46;6000;6000;" 36 months";6.07;182.73;"A";"Manager";"5 years";"RENT";42000;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"321xx";"FL";18.47;0;"13-Nov";740;744;0;0;"";7;0;4815;23.8;12;"w";4069.61;4069.61;2205.98;2205.98;1930.39;275.59;0;0;0;"19-Feb";182.73;"19-Apr";"19-Mar";749;745;0;"";1;"Individual";"";"";"";0;0;36467;2;1;1;1;6;31652
47;26000;26000;" 60 months";11.98;578.1;"B";"Service Technician";"< 1 year";"MORTGAGE";33000;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"620xx";"IL";20.05;0;"Feb-94";705;709;0;0;"";9;0;6906;15.9;21;"w";22315.88;22315.88;6332.83;6332.83;3684.12;2648.71;0;0;0;"19-Feb";578.1;"19-Apr";"19-Mar";694;690;0;"";1;"Joint App";"107000";"18.8";"Not Verified";0;719;157603;1;1;1;2;8;24623
48;5000;5000;" 36 months";13.58;169.87;"C";"truck driver";"< 1 year";"RENT";75250;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"370xx";"TN";19.41;1;"12-Nov";675;679;2;22;"";14;0;3311;16.5;24;"w";1673.33;1673.33;3879.9;3879.9;3326.67;553.23;0;0;0;"19-Mar";169.87;"19-Apr";"19-Mar";694;690;2;"";1;"Individual";"";"";"";0;4377;27905;1;3;1;3;11;24559
49;7000;7000;" 36 months";7.34;217.23;"A";"vice president";"10+ years";"MORTGAGE";180700;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"606xx";"IL";18.98;1;"4-Jun";710;714;1;19;"";13;0;10546;36.9;17;"w";5021.69;5021.69;2383.82;2383.82;1978.31;405.51;0;0;0;"19-Feb";217.23;"19-Apr";"19-Mar";769;765;0;"";1;"Individual";"";"";"";0;696;286553;1;4;0;1;24;49674
50;12000;12000;" 60 months";18.45;307.67;"D";"lawn tech";"3 years";"RENT";30000;"Verified";"18-Mar";"Current";"";"Credit card refinancing";"750xx";"TX";22.12;0;"Apr-00";750;754;1;0;"";7;0;14233;36.2;10;"w";10536.02;10536.02;3359.77;3359.77;1463.98;1895.79;0;0;0;"19-Mar";307.67;"19-Apr";"19-Mar";774;770;0;"";1;"Individual";"";"";"";0;0;20820;3;1;0;0;29;6587
51;5000;5000;" 36 months";5.31;150.56;"A";"Clerical";"2 years";"RENT";36610;"Not Verified";"18-Mar";"Fully Paid";"";"Credit card refinancing";"080xx";"NJ";13.85;0;"5-Sep";765;769;1;0;"";15;0;8623;9.2;20;"w";0.0;0.0;5131.605347;5131.61;5000.0;131.61;0;0;0;"18-Dec";2130.64;"";"19-Feb";794;790;0;"";1;"Individual";"";"";"";0;0;17742;3;1;0;1;14;9119
52;8000;8000;" 36 months";6.71;245.96;"A";"Driver";"7 years";"MORTGAGE";80000;"Not Verified";"18-Mar";"Current";"";"Home improvement";"720xx";"AR";25.07;0;"4-Oct";775;779;0;0;"";8;0;5241;25.2;21;"w";5723.57;5723.57;2699.6;2699.6;2276.43;423.17;0;0;0;"19-Feb";245.96;"19-Apr";"19-Mar";749;745;0;"";1;"Individual";"";"";"";0;0;271104;1;3;1;1;2;57494
53;20000;20000;" 36 months";5.31;602.21;"A";"Owner";"5 years";"OWN";77000;"Verified";"18-Mar";"Current";"";"Credit card refinancing";"190xx";"PA";22.21;0;"Aug-00";735;739;0;0;"";14;0;35112;69.7;32;"w";14222.49;14222.49;6612.51;6612.51;5777.51;835.0;0;0;0;"19-Feb";602.21;"19-Apr";"19-Mar";749;745;0;"";1;"Individual";"";"";"";0;0;126356;0;8;0;0;40;41551
54;25000;25000;" 60 months";24.84;731.44;"E";"";"10+ years";"RENT";45700;"Verified";"18-Mar";"Current";"";"Debt consolidation";"900xx";"CA";31.36;0;"1-Jan";660;664;0;0;"90";14;2;21425;66.3;20;"w";22387.32;22387.32;7976.84;7976.84;2612.68;5364.16;0;0;0;"19-Feb";731.44;"19-Apr";"19-Mar";699;695;0;"";1;"Individual";"";"";"";0;0;197881;0;3;0;0;43;176456
55;16000;16000;" 60 months";11.98;355.75;"B";"Administrative Assistant";"5 years";"MORTGAGE";95000;"Not Verified";"18-Mar";"Current";"";"Home improvement";"820xx";"WY";11.79;0;"Apr-96";725;729;1;29;"";11;0;10481;41.3;24;"w";13732.9;13732.9;3891.95;3891.95;2267.1;1624.85;0;0;0;"19-Feb";355.75;"19-Apr";"19-Mar";749;745;0;"";1;"Joint App";"145000";"7.93";"Not Verified";0;0;149865;2;2;0;1;20;9524
56;5500;5500;" 36 months";7.34;170.69;"A";"maintainance";"2 years";"RENT";35192;"Verified";"18-Mar";"Current";"";"Home improvement";"826xx";"WY";24.91;0;"7-Oct";800;804;0;0;"";3;0;380;4.5;3;"w";3945.83;3945.83;1877.59;1877.59;1554.17;323.42;0;0;0;"19-Mar";170.69;"19-Apr";"19-Mar";724;720;0;"";1;"Individual";"";"";"";0;95;38490;0;1;1;1;9;38110
57;2000;2000;" 36 months";10.9;65.39;"B";"Office Manager";"10+ years";"RENT";37000;"Source Verified";"18-Mar";"Current";"";"Debt consolidation";"326xx";"FL";35.61;1;"Aug-98";705;709;1;10;"";20;0;8245;11.0;35;"w";1456.3;1456.3;716.87;716.87;543.7;173.17;0;0;0;"19-Feb";65.39;"19-Apr";"19-Mar";709;705;0;"10";1;"Individual";"";"";"";0;0;34112;1;3;1;2;11;25867
